日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-07-27,优,30,0,13,29,10,15,0.35,71
2023-07-28,优,17,0,5,15,9,12,0.28,38
2023-07-29,优,18,0,7,17,8,9,0.27,42
2023-07-30,优,20,0,7,16,8,12,0.33,52
2023-07-31,优,29,0,15,27,8,13,0.38,71
2023-08-01,优,26,0,13,25,9,10,0.28,52
2023-08-02,优,37,0,21,37,9,13,0.30,60
2023-08-03,优,38,0,18,36,10,16,0.38,75
2023-08-04,优,38,0,15,35,10,16,0.35,78
2023-08-05,优,46,0,21,43,10,19,0.41,93
2023-08-06,优,39,0,17,34,10,16,0.45,89
2023-08-07,优,37,0,10,29,10,15,0.34,108
2023-08-08,优,41,0,15,38,12,18,0.40,100
2023-08-09,良,56,0,25,53,11,22,0.48,119
2023-08-10,良,73,0,28,61,13,25,0.53,139
2023-08-11,良,72,0,35,70,12,24,0.53,130
2023-08-12,良,55,0,34,61,10,16,0.59,120
2023-08-13,优,34,0,15,27,9,15,0.47,88
2023-08-14,优,48,0,21,41,10,21,0.48,102
2023-08-15,良,55,0,21,42,12,21,0.57,128
2023-08-16,良,61,0,25,47,13,23,0.51,120
2023-08-17,良,61,0,27,51,10,20,0.53,123
2023-08-18,良,51,0,27,47,11,21,0.54,111
2023-08-19,优,49,0,27,47,10,18,0.48,103
2023-08-20,优,40,0,20,38,11,15,0.39,83
2023-08-21,优,36,0,12,26,10,15,0.39,95
2023-08-22,良,55,0,24,58,11,20,0.47,113
2023-08-23,良,76,0,30,73,12,27,0.52,127
2023-08-24,良,70,0,27,66,15,24,0.52,132
2023-08-25,良,78,0,40,82,12,27,0.58,128
2023-08-26,良,59,0,38,63,11,19,0.55,117
2023-08-27,优,33,0,9,12,7,11,0.33,104
2023-08-28,优,29,0,11,19,8,13,0.42,92
2023-08-29,优,39,0,19,36,10,19,0.47,93
2023-08-30,优,49,0,22,46,10,23,0.44,107
2023-08-31,良,59,0,25,50,9,21,0.46,120
2023-09-01,良,64,0,27,56,11,29,0.53,116
2023-09-02,良,84,0,58,92,10,28,0.75,126
2023-09-03,良,59,0,37,62,11,20,0.60,114
2023-09-04,良,73,0,39,72,14,24,0.70,120
2023-09-05,良,67,0,29,61,13,29,0.68,116
2023-09-06,良,69,0,37,68,11,26,0.60,129
2023-09-07,良,78,0,44,77,11,29,0.71,124
2023-09-08,良,72,0,47,75,10,24,0.65,117
2023-09-09,良,61,0,38,64,9,22,0.54,108
2023-09-10,良,59,0,35,60,9,22,0.54,106
2023-09-11,良,72,0,49,86,10,30,0.61,106
2023-09-12,良,68,0,48,73,8,29,0.62,79
2023-09-13,优,38,0,17,33,6,18,0.45,99
2023-09-14,良,51,0,20,47,8,26,0.52,106
2023-09-15,良,63,0,23,52,11,29,0.59,119
2023-09-16,良,70,0,36,68,11,29,0.58,110
2023-09-17,良,62,0,38,67,9,26,0.56,104
2023-09-18,良,56,0,34,61,9,23,0.63,103
2023-09-19,良,65,0,43,59,7,22,0.76,82
2023-09-20,优,34,0,7,20,6,16,0.36,103
2023-09-21,优,36,0,11,34,8,27,0.43,78
2023-09-22,优,47,0,18,43,8,31,0.50,83
2023-09-23,良,55,0,31,61,10,32,0.63,83
2023-09-24,优,45,0,28,34,5,23,0.57,75
2023-09-25,优,39,0,27,34,5,20,0.57,62
2023-09-26,良,65,0,47,63,7,27,0.71,58
2023-09-27,良,54,0,35,56,8,29,0.66,77
2023-09-28,良,65,0,42,70,7,31,0.78,85
2023-09-29,优,41,0,25,39,4,18,0.59,97
2023-09-30,良,55,0,35,59,6,19,0.61,94
