id,充电站名称,地址,省,市,区,纬度,经度
182,小桔充电充电站(重庆市江南体育馆站),重庆市南岸区烟雨路1号,重庆市,重庆市,南岸区,29.550884,106.597964
183,特来电充电站(丹龙体育文化公园),重庆市南岸区丹龙路40号,重庆市,重庆市,南岸区,29.517472,106.560845
184,国家电网南岸区莲池充电站,重庆市南岸区通江大道金科中央华府东侧约50米,重庆市,重庆市,南岸区,29.474809,106.6357
185,国家电网充电站(南岸区弹子石卫国路...,重庆市南岸区卫国路62号,重庆市,重庆市,南岸区,29.591495,106.596662
186,万马爱充充电站(重庆南岸区金辉地产...,重庆市南岸区南滨路12-18铜元道车库负一层2栋,重庆市,重庆市,南岸区,29.542917,106.548303
187,国家电网充电站(重庆市南岸区迎龙镇站),重庆市南岸区迎龙镇黄明路附近,重庆市,重庆市,南岸区,29.525263,106.71625
188,星星充电充电站(南岸区9号社区体育...,重庆市南岸区涂山镇华润凯旋天地弹子石万象汇,重庆市,重庆市,南岸区,29.607884,106.606136
189,国家电网充电站(重庆市南岸区放牛村...,重庆市南岸区南山街道放牛村委会,重庆市,重庆市,南岸区,29.580465,106.652445
190,国家电网充电站(重庆市南岸区烟雨路...,重庆市南岸区烟雨路和记黄埔充电站,重庆市,重庆市,南岸区,29.540039,106.59438
191,开迈斯充电站,重庆市南岸区南坪北路8号B1层083~092号车位,重庆市,重庆市,南岸区,29.537646,106.571244
192,国家电网充电站(重庆市南岸区供电公...,重庆市南岸区供电公司配网中心充电站,重庆市,重庆市,南岸区,29.518766,106.553824
193,小桔充电充电站(BP快速充电站(重...,重庆市南岸区重庆江南体育中心,重庆市,重庆市,南岸区,29.547849,106.593428
194,国家电网充电站(重庆南岸南山植物园站),重庆市南岸区南山街道重庆南山植物园,重庆市,重庆市,南岸区,29.560468,106.632956
195,国家电网汽车充电站(金紫街),重庆市南岸区南湖路15号,重庆市,重庆市,南岸区,29.527386,106.577264
196,合创充电站(南坪站),重庆市南岸区南坪街道江南大道39号,重庆市,重庆市,南岸区,29.528943,106.579631
197,国家电网充电站(重庆市南山区重庆南...,重庆市南岸区南山街道崇文路157号,重庆市,重庆市,南岸区,29.549668,106.612738
198,开迈斯充电站,重庆市南岸区白鹤路金菱车世界一汽大众金菱隆众4S店,重庆市,重庆市,南岸区,29.515827,106.56827
199,电动汽车交流充电桩,重庆市南岸区莲池路鲁能·领秀城-3街区,重庆市,重庆市,南岸区,29.504233,106.641864
200,国家电网充电站(南岸区东南医院站),重庆市南岸区通江大道东南医院,重庆市,重庆市,南岸区,29.513932,106.662472
201,澳威电车车充电站(南坪四公里站),重庆市南岸区南坪南路重庆船舶交易市场,重庆市,重庆市,南岸区,29.529652,106.579251
202,泰戈新能源充电站,重庆市南岸区海峡路8号,重庆市,重庆市,南岸区,29.525136,106.548984
203,国家电网充电站-东南门,重庆市南岸区茶花路卓越国虹时代中心北侧约170米,重庆市,重庆市,南岸区,29.487504,106.642237
204,保时捷充电桩,重庆市南岸区铜元局刘家花园96号重庆南岸保时捷中心内,重庆市,重庆市,南岸区,29.525623,106.546613
205,奥动换电(工贸站),重庆市南岸区南坪北路12号,重庆市,重庆市,南岸区,29.538603,106.569818
